date_mesure,geocode_commune,libelle_commune,valeur
2025-01-01T00:00:00.000,02139,Caillouël-Crépigny,459
2025-01-01T00:00:00.000,02787,Verneuil-sur-Serre,249
2025-01-01T00:00:00.000,03311,Vicq,291
2025-01-01T00:00:00.000,01381,Saint-Nizier-le-Désert,921
2025-01-01T00:00:00.000,19190,Saint-Bonnet-près-Bort,188
2025-01-01T00:00:00.000,14102,Le Breuil-en-Auge,952
2025-01-01T00:00:00.000,14396,Maltot,1060
2025-01-01T00:00:00.000,02369,Harcigny,244
2025-01-01T00:00:00.000,02488,Molain,161
2025-01-01T00:00:00.000,15200,Saint-Martin-Cantalès,157
2025-01-01T00:00:00.000,21035,Auvillars-sur-Saône,343
2025-01-01T00:00:00.000,02616,Pont-Saint-Mard,176
2025-01-01T00:00:00.000,02286,Esquéhéries,847
2025-01-01T00:00:00.000,02601,Pignicourt,173
2025-01-01T00:00:00.000,10083,Chappes,360
2025-01-01T00:00:00.000,19074,L'Église-aux-Bois,50
2025-01-01T00:00:00.000,18033,Bourges,64186
2025-01-01T00:00:00.000,11088,Cazilhac,1664
2025-01-01T00:00:00.000,07059,Châteaubourg,227
2025-01-01T00:00:00.000,01206,Lantenay,260
2025-01-01T00:00:00.000,16024,Aussac-Vadalle,564
2025-01-01T00:00:00.000,08271,Manre,108
2025-01-01T00:00:00.000,01257,Montanges,369
2025-01-01T00:00:00.000,07171,Payzac,539
2025-01-01T00:00:00.000,16145,Foussignac,661
2025-01-01T00:00:00.000,02027,Assis-sur-Serre,209
2025-01-01T00:00:00.000,01199,Jujurieux,2260
2025-01-01T00:00:00.000,10249,Montiéramey,398
2025-01-01T00:00:00.000,19275,Ussel,9187
2025-01-01T00:00:00.000,19006,Alleyrat,98
2025-01-01T00:00:00.000,14516,Potigny,2089
2025-01-01T00:00:00.000,04007,Angles,72
2025-01-01T00:00:00.000,02095,Bohain-en-Vermandois,5605
2025-01-01T00:00:00.000,14742,Vicques,67
2025-01-01T00:00:00.000,10329,Rouilly-Saint-Loup,541
2025-01-01T00:00:00.000,17396,Saint-Sauveur-d'Aunis,2026
2025-01-01T00:00:00.000,19060,Condat-sur-Ganaveix,643
2025-01-01T00:00:00.000,12118,Lacroix-Barrez,531
2025-01-01T00:00:00.000,12139,Marnhagues-et-Latour,147
2025-01-01T00:00:00.000,19083,Feyt,110
2025-01-01T00:00:00.000,16312,Saint-Cybardeaux,771
2025-01-01T00:00:00.000,01314,Priay,1842
2025-01-01T00:00:00.000,17179,Les Gonds,1740
2025-01-01T00:00:00.000,08188,Gespunsart,954
2025-01-01T00:00:00.000,19055,Chirac-Bellevue,272
2025-01-01T00:00:00.000,16217,Merpins,1085
2025-01-01T00:00:00.000,03090,Couzon,328
2025-01-01T00:00:00.000,05061,Gap,41293
2025-01-01T00:00:00.000,02563,Noyales,132
2025-01-01T00:00:00.000,14487,Ouilly-le-Vicomte,756
2025-01-01T00:00:00.000,14547,Rubercy,152
2025-01-01T00:00:00.000,01062,Bressolles,1028
2025-01-01T00:00:00.000,10129,Dosches,312
2025-01-01T00:00:00.000,09305,Tabre,351
2025-01-01T00:00:00.000,14556,Saint-André-sur-Orne,1664
2025-01-01T00:00:00.000,08303,Monthois,390
2025-01-01T00:00:00.000,15249,Le Vaulmier,60
2025-01-01T00:00:00.000,17193,La Jarne,2637
2025-01-01T00:00:00.000,17011,Annepont,399
2025-01-01T00:00:00.000,16180,Laprade,248
2025-01-01T00:00:00.000,09264,Saint-Jean-de-Verges,1290
2025-01-01T00:00:00.000,14669,Sassy,217
2025-01-01T00:00:00.000,13118,Coudoux,3825
2025-01-01T00:00:00.000,19041,Chanac-les-Mines,437
2025-01-01T00:00:00.000,08482,Villers-sur-le-Mont,101
2025-01-01T00:00:00.000,11393,Tourouzelle,494
2025-01-01T00:00:00.000,14436,Monceaux-en-Bessin,601
2025-01-01T00:00:00.000,19050,Chauffour-sur-Vell,408
2025-01-01T00:00:00.000,10414,Villeloup,130
2025-01-01T00:00:00.000,02137,Bussiares,126
2025-01-01T00:00:00.000,03315,Villefranche-d'Allier,1238
2025-01-01T00:00:00.000,18094,Feux,317
2025-01-01T00:00:00.000,17344,Saint-Hilaire-de-Villefranche,1350
2025-01-01T00:00:00.000,10056,Bouy-Luxembourg,243
2025-01-01T00:00:00.000,11047,Le Bousquet,39
2025-01-01T00:00:00.000,08142,Donchery,1989
2025-01-01T00:00:00.000,18181,Plou,527
2025-01-01T00:00:00.000,12211,Saint-André-de-Vézines,130
2025-01-01T00:00:00.000,15215,Saint-Simon,1159
2025-01-01T00:00:00.000,18050,La Chapelle-Saint-Ursin,3681
2025-01-01T00:00:00.000,09030,Auzat,561
2025-01-01T00:00:00.000,09229,Le Peyrat,495
2025-01-01T00:00:00.000,01076,Chaley,129
2025-01-01T00:00:00.000,16082,Boisné-La Tude,662
2025-01-01T00:00:00.000,10207,Longueville-sur-Aube,134
2025-01-01T00:00:00.000,11139,Fenouillet-du-Razès,78
2025-01-01T00:00:00.000,17331,Saint-Genis-de-Saintonge,1282
2025-01-01T00:00:00.000,16119,Dignac,1362
2025-01-01T00:00:00.000,09048,Belloc,84
2025-01-01T00:00:00.000,10243,Molins-sur-Aube,102
2025-01-01T00:00:00.000,02729,Soucy,74
2025-01-01T00:00:00.000,15182,Saint-Étienne-Cantalès,127
2025-01-01T00:00:00.000,05010,Aspres-sur-Buëch,828
2025-01-01T00:00:00.000,03277,Target,244
2025-01-01T00:00:00.000,11099,Conques-sur-Orbiel,2523
2025-01-01T00:00:00.000,14590,Sainte-Honorine-de-Ducy,136
2025-01-01T00:00:00.000,14343,Les Isles-Bardel,73
2025-01-01T00:00:00.000,14747,Vieux,727
2025-01-01T00:00:00.000,02111,Brancourt-en-Laonnois,702
2025-01-01T00:00:00.000,18148,Méreau,2632
2025-01-01T00:00:00.000,19226,Saint-Merd-les-Oussines,105
2025-01-01T00:00:00.000,01238,Massieux,2843
2025-01-01T00:00:00.000,02651,Rogécourt,88
2025-01-01T00:00:00.000,16173,Juillé,173
2025-01-01T00:00:00.000,04122,Mirabeau,522
2025-01-01T00:00:00.000,05071,Lardier-et-Valença,391
2025-01-01T00:00:00.000,03060,Charmeil,947
2025-01-01T00:00:00.000,02512,Montigny-l'Allier,273
2025-01-01T00:00:00.000,07029,Beaumont,262
2025-01-01T00:00:00.000,15105,Leyvaux,37
2025-01-01T00:00:00.000,10045,Beurey,176
2025-01-01T00:00:00.000,14715,Trouville-sur-Mer,4619
2025-01-01T00:00:00.000,19066,Cublac,1728
2025-01-01T00:00:00.000,05022,Bréziers,229
2025-01-01T00:00:00.000,13080,Le Puy-Sainte-Réparade,5935
2025-01-01T00:00:00.000,05100,Pelleautier,863
2025-01-01T00:00:00.000,01046,Biziat,889
2025-01-01T00:00:00.000,01373,Saint-Martin-du-Frêne,1023
2025-01-01T00:00:00.000,05023,Briançon,11411
2025-01-01T00:00:00.000,03279,Teillet-Argenty,555
2025-01-01T00:00:00.000,19094,Juillac,1153
2025-01-01T00:00:00.000,11093,Le Clat,28
2025-01-01T00:00:00.000,12053,La Capelle-Balaguier,346
2025-01-01T00:00:00.000,08449,Thin-le-Moutier,702
2025-01-01T00:00:00.000,11198,Laure-Minervois,1061
2025-01-01T00:00:00.000,01110,Colomieu,159
2025-01-01T00:00:00.000,02562,Nouvron-Vingré,202
2025-01-01T00:00:00.000,02186,Chézy-sur-Marne,1296
2025-01-01T00:00:00.000,19117,Lissac-sur-Couze,705
